patch_id,scene_class,region_id,patch_execution_status,metric_cache_read_s,esri_patch_cache_status,esri_patch_load_s,synthetic_build_s,spectral_analysis_s,checkpoint_write_s,patch_wall_s,peak_gpu_memory_mib,operator_nnz_total,healpix_cells_max,rss_start_mib,rss_end_mib,cleanup_s,peak_rss_mib,rss_after_cleanup_mib,run_sequence,benchmark_included
forest__congo__r0c0,forest,congo,computed,0.0,zarr_hit,0.02118423394858837,1.0349689251743257,0.008412964642047882,0.0338613148778677,8.505419561173767,1021.45849609375,5177344.0,174353,18881.8125,18881.81640625,0.17728182720020413,18881.81640625,18881.8125,190,True
forest__congo__r0c1,forest,congo,computed,0.0,zarr_hit,0.030122924130409956,1.0412818719632924,0.009164937771856785,0.023731659166514874,8.492918404284865,1021.45703125,5177344.0,174084,18881.81640625,18882.50390625,0.21539611695334315,18882.50390625,18882.5,191,True
forest__congo__r0c2,forest,congo,computed,0.0,zarr_hit,0.015870930161327124,1.0301666888408363,0.008391192648559809,0.027432257775217295,8.456235023681074,1021.45751953125,5177344.0,174269,18882.50390625,18882.6015625,0.17487833462655544,18882.6015625,18882.59765625,192,True
forest__congo__r1c0,forest,congo,computed,0.0,zarr_hit,0.015138030983507633,1.0235096900723875,0.008457598742097616,0.020364982075989246,8.457180474884808,1021.4541015625,5177344.0,174252,18882.6015625,18882.73828125,0.17303399182856083,18882.73828125,18882.734375,193,True
forest__congo__r1c1,forest,congo,computed,0.0,zarr_hit,0.028780160006135702,1.0612653708085418,0.008418303914368153,0.020567334722727537,8.506703063379973,1021.4580078125,5177344.0,174239,18882.73828125,18882.82421875,0.17453681910410523,18882.82421875,18882.8203125,194,True
forest__congo__r1c2,forest,congo,computed,0.0,zarr_hit,0.023043023888021708,1.0342562552541494,0.008628703188151121,0.011888517066836357,8.447553301695734,1021.45654296875,5177344.0,174040,18882.82421875,18882.828125,0.19203342776745558,18882.828125,18882.82421875,195,True
forest__congo__r2c0,forest,congo,computed,0.0,zarr_hit,0.022585769183933735,1.0354332248680294,0.008717251010239124,0.01803924608975649,8.63275321573019,1021.4580078125,5177344.0,174240,18882.828125,18882.828125,0.1910363589413464,18882.828125,18882.82421875,196,True
forest__congo__r2c1,forest,congo,computed,0.0,zarr_hit,0.0302446149289608,1.0435370528139174,0.00856395997107029,0.013346288353204727,8.505057475529611,1021.4560546875,5177344.0,174503,18882.828125,18882.828125,0.1763412356376648,18882.828125,18882.82421875,197,True
forest__congo__r2c2,forest,congo,computed,0.0,zarr_hit,0.02551748091354966,1.0521222040988505,0.008394598960876465,0.014463134109973907,8.575100339017808,1021.45703125,5177344.0,174112,18882.828125,18882.828125,0.17405306175351143,18882.828125,18882.82421875,198,True
forest__borneo__r0c0,forest,borneo,computed,0.0,zarr_hit,0.022708560805767775,1.0348193920217454,0.008619836065918207,0.013877795077860355,8.49622833263129,1021.423828125,5177344.0,173831,18882.828125,18883.48046875,0.1784054758027196,18883.48046875,18883.4765625,199,True
forest__borneo__r0c1,forest,borneo,computed,0.0,zarr_hit,0.025272527243942022,1.03775894921273,0.008690209593623877,0.025217231828719378,8.472319007851183,1021.423828125,5177344.0,173837,18883.48046875,18883.59765625,0.20925059681758285,18883.59765625,18883.59375,200,True
forest__borneo__r0c2,forest,borneo,computed,0.0,zarr_hit,0.025243280921131372,1.0366806471720338,0.008653299883008003,0.01346448203548789,8.483402300160378,1021.4228515625,5177344.0,173741,18883.59765625,18883.74609375,0.174205691087991,18883.74609375,18883.7421875,201,True
forest__borneo__r1c0,forest,borneo,computed,0.0,zarr_hit,0.0300835189409554,1.0451485747471452,0.008408536203205585,0.020709543954581022,8.484958477783948,1021.421875,5177344.0,173679,18883.74609375,18883.8125,0.17606810899451375,18883.8125,18883.80859375,202,True
forest__borneo__r1c1,forest,borneo,computed,0.0,zarr_hit,0.022310155909508467,1.0366878607310355,0.008827649988234043,0.019683771766722202,8.564893537666649,1021.42529296875,5177344.0,173953,18883.8125,18883.828125,0.1703649372793734,18883.828125,18883.82421875,203,True
forest__borneo__r1c2,forest,borneo,computed,0.0,zarr_hit,0.0254456652328372,1.0393435200676322,0.008499929215759039,0.014295106288045645,8.475695263128728,1021.42333984375,5177344.0,173760,18883.828125,18883.8359375,0.1753982100635767,18883.8359375,18883.83203125,204,True
forest__borneo__r2c0,forest,borneo,computed,0.0,zarr_hit,0.05586896697059274,1.065841168165207,0.008889598306268454,0.020846914034336805,8.519654174335301,1021.4228515625,5177344.0,173742,18883.8359375,18883.8359375,0.20300847524777055,18883.8359375,18883.83203125,205,True
forest__borneo__r2c1,forest,borneo,computed,0.0,zarr_hit,0.02155663911253214,1.0344911199063063,0.00920753926038742,0.056651449762284756,8.534548544324934,1021.42333984375,5177344.0,173810,18883.8359375,18883.8359375,0.1952806180343032,18883.8359375,18883.83203125,206,True
forest__borneo__r2c2,forest,borneo,computed,0.0,zarr_hit,0.03297799127176404,1.0409547928720713,0.008601631037890911,0.020728670991957188,8.463326384779066,1021.4248046875,5177344.0,173910,18883.8359375,18883.8359375,0.1779797188937664,18883.8359375,18883.83203125,207,True
forest__appalachian__r0c0,forest,appalachian,computed,0.0,zarr_hit,0.02671194402500987,1.0885416232049465,0.008565803989768028,0.01976515632122755,11.499010419473052,1021.3837890625,5177344.0,173293,18883.8359375,18884.41015625,0.17742683179676533,18884.41015625,18884.40625,208,True
forest__appalachian__r0c1,forest,appalachian,computed,0.0,zarr_hit,0.0321042169816792,1.1262081749737263,0.00856826826930046,0.0169615657068789,11.367944837547839,1021.38427734375,5177344.0,173304,18884.41015625,18884.49609375,0.17753675021231174,18884.49609375,18884.4921875,209,True
forest__appalachian__r0c2,forest,appalachian,computed,0.0,zarr_hit,0.02762460196390748,1.372411611955613,0.00884037371724844,0.014148227404803038,11.984751197975129,1021.38427734375,5177344.0,173309,18884.49609375,18884.6171875,0.20943504571914673,18884.6171875,18884.61328125,210,True
forest__appalachian__r1c0,forest,appalachian,computed,0.0,zarr_hit,0.02554640593007207,1.1032426678575575,0.008657487109303474,0.017595787066966295,11.957262444775552,1021.3837890625,5177344.0,173295,18884.6171875,18884.765625,0.18584488704800606,18884.765625,18884.76171875,211,True
forest__appalachian__r1c1,forest,appalachian,computed,0.0,zarr_hit,0.024293693248182535,1.1185385780408978,0.008370483759790659,0.02435086201876402,11.758224099874496,1021.38427734375,5177344.0,173303,18884.765625,18883.8515625,0.17209528386592865,18884.765625,18883.84765625,212,True
forest__appalachian__r1c2,forest,appalachian,computed,0.0,zarr_hit,0.03017069399356842,1.0946512748487294,0.008390923030674458,0.015392233151942492,11.455533624161035,1021.38427734375,5177344.0,173298,18883.8515625,18884.83984375,0.1994364899583161,18884.83984375,18884.8359375,213,True
forest__appalachian__r2c0,forest,appalachian,computed,0.0,zarr_hit,0.03752328967675567,1.099980939179659,0.008883145172148943,0.013817269820719957,11.48167171003297,1021.38427734375,5177344.0,173289,18884.83984375,18884.83984375,0.19613091833889484,18884.83984375,18884.8359375,214,True
forest__appalachian__r2c1,forest,appalachian,computed,0.0,zarr_hit,0.028503246139734983,1.089432671200484,0.008541729301214218,0.020317602902650833,11.701157755218446,1021.38427734375,5177344.0,173297,18884.83984375,18884.83984375,0.17811566684395075,18884.83984375,18884.8359375,215,True
forest__appalachian__r2c2,forest,appalachian,computed,0.0,zarr_hit,0.02268955484032631,1.5850465190596879,0.008414887823164463,0.03500098315998912,12.01291883829981,1021.38427734375,5177344.0,173310,18884.83984375,18889.484375,0.18229604419320822,18889.484375,18889.48046875,216,True
forest__black_forest__r0c0,forest,black_forest,computed,0.0,zarr_hit,0.09649288095533848,1.260777804069221,0.008507202845066786,0.014075589831918478,8.614291809033602,1021.38232421875,5177344.0,172995,18889.484375,18892.00390625,0.18319421587511897,18892.00390625,18892.0,217,True
forest__black_forest__r0c1,forest,black_forest,computed,0.0,zarr_hit,0.03051800187677145,1.0471067940816283,0.008748680353164673,0.016300233080983162,8.013836397323757,1021.3818359375,5177344.0,172984,18892.00390625,18892.7421875,0.21749838907271624,18892.7421875,18892.73828125,218,True
forest__black_forest__r0c2,forest,black_forest,computed,0.0,zarr_hit,0.02427197201177478,1.0474620470777154,0.008460876066237688,0.01577079016715288,8.395680171903223,1382.2548828125,5177344.0,172989,18892.7421875,18893.0234375,0.18196921609342098,18893.0234375,18893.01953125,219,True
forest__black_forest__r1c0,forest,black_forest,computed,0.0,zarr_hit,0.026249868795275688,1.047673727851361,0.008503977209329605,0.011353764217346907,8.456108847167343,1021.3818359375,5177344.0,172985,18893.0234375,18893.46875,0.18381529208272696,18893.46875,18893.46484375,220,True
forest__black_forest__r1c1,forest,black_forest,computed,0.0,zarr_hit,0.027068098075687885,1.1074703852646053,0.008710428141057491,0.020087858196347952,8.148995883762836,1382.25537109375,5177344.0,172980,18893.46875,18893.78515625,0.1817468637600541,18893.78515625,18893.78125,221,True
