patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,true_fwhm_m,lambda,max_iter,healpix_level,device,rmse_psf_degradation,method,operator_fwhm_m,rmse_vs_latent,recovery_fraction,n_cells_compared,n_cells_estimated,npt,operator_rows,operator_cols,operator_nnz,operator_density,operator_build_s,solve_s,projection_s,runtime_s,method_total_s,patch_execution_status,run_sequence,benchmark_included
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,12.5,0.001,14,20,cuda:0,0.04732773945125771,bicubic,,0.053327944682847656,-0.12677988218240355,169975,170789,,,,,,0.0,0.7615345353260636,0.0,0.7615345353260636,0.7615345353260636,computed,6,True
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.05127514373711549,blurred_observation,12.5,0.05127514373711549,0.0,170836,170836,,,,,,0.0,0.0,0.0,0.0,0.0,computed,7,True
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.05127514373711549,psf_aware_matched,12.5,0.041557124524586334,0.1895269033735496,170836,172257,22.0,65536.0,172257.0,1441792.0,0.00012771614506231968,0.2852273560129106,0.04037142591550946,1.7334760329686105,0.32559878192842007,2.0590748148970306,computed,7,True
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.05127514373711549,psf_aware_plus50,18.75,0.0783544005499918,-0.5281166436453109,170836,174049,48.0,65536.0,174049.0,3145728.0,0.0002757844055409684,0.43054181803017855,0.0808109100908041,1.7575668222270906,0.5113527281209826,2.2689195503480732,computed,7,True
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.05127514373711549,psf_aware_minus50,6.25,0.058703258174727754,-0.1448677448023501,170394,170394,9.0,65536.0,170394.0,589824.0,5.281876122398676e-05,0.17032486386597157,0.023101496044546366,1.7042051306925714,0.19342635991051793,1.8976314906030893,computed,7,True
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.05127514373711549,nearest,,0.0614428584675657,-0.19829714729966352,169922,170836,,,,,,0.0,0.12304520420730114,0.0,0.12304520420730114,0.12304520420730114,computed,7,True
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.05127514373711549,bilinear,,0.06382688491417146,-0.24479192572151476,169922,170836,,,,,,0.0,0.11085998406633735,0.0,0.11085998406633735,0.11085998406633735,computed,7,True
urban__singapore__r2c0,urban,singapore,Singapore,1.2903,103.8519,1.3264647022528997,103.81593448523955,00-15,32648,-4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.05127514373711549,bicubic,,0.05825227983419925,-0.13607248246548287,169922,170836,,,,,,0.0,0.7571527860127389,0.0,0.7571527860127389,0.7571527860127389,computed,7,True
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,12.5,0.001,14,20,cuda:0,0.06065156349577365,blurred_observation,12.5,0.06065156349577365,0.0,170953,170953,,,,,,0.0,0.0,0.0,0.0,0.0,computed,8,True
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,12.5,0.001,14,20,cuda:0,0.06065156349577365,psf_aware_matched,12.5,0.04785090687878395,0.21105237654560516,170953,172207,22.0,65536.0,172207.0,1441792.0,0.00012775322722072854,0.28279126109555364,0.04040087107568979,1.7418826147913933,0.32319213217124343,2.0650747469626367,computed,8,True
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,12.5,0.001,14,20,cuda:0,0.06065156349577365,psf_aware_plus50,18.75,0.09324768671637929,-0.5374325300431375,170953,174239,48.0,65536.0,174239.0,3145728.0,0.00027548367472265105,0.6306906598620117,0.08115494111552835,1.765444131102413,0.71184560097754,2.477289732079953,computed,8,True
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,12.5,0.001,14,20,cuda:0,0.06065156349577365,psf_aware_minus50,6.25,0.07034880900566712,-0.15988450999402826,170271,170271,9.0,65536.0,170271.0,589824.0,5.2856916327501456e-05,0.17904024198651314,0.022255492862313986,1.6745113302022219,0.20129573484882712,1.875807065051049,computed,8,True
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,12.5,0.001,14,20,cuda:0,0.06065156349577365,nearest,,0.07377254647419816,-0.21633379623163074,170057,170953,,,,,,0.0,0.14691887190565467,0.0,0.14691887190565467,0.14691887190565467,computed,8,True
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,12.5,0.001,14,20,cuda:0,0.06065156349577365,bilinear,,0.07672921213758653,-0.2650821795044609,170057,170953,,,,,,0.0,0.10958167305216193,0.0,0.10958167305216193,0.10958167305216193,computed,8,True
urban__singapore__r2c1,urban,singapore,Singapore,1.2903,103.8519,1.3264817510916866,103.85188354931874,00-15,32648,0.0,4000.0,12.5,0.001,14,20,cuda:0,0.06065156349577365,bicubic,,0.06914340081523918,-0.14001019644048007,170057,170953,,,,,,0.0,0.7611091597937047,0.0,0.7611091597937047,0.7611091597937047,computed,8,True
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.06528181627404563,blurred_observation,12.5,0.06528181627404563,0.0,170785,170785,,,,,,0.0,0.0,0.0,0.0,0.0,computed,9,True
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.06528181627404563,psf_aware_matched,12.5,0.05161885148441952,0.209292044392125,170785,172206,22.0,65536.0,172206.0,1441792.0,0.00012775396908353947,0.3247701209038496,0.04033703124150634,1.7320444309152663,0.36510715214535594,2.097151583060622,computed,9,True
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.06528181627404563,psf_aware_plus50,18.75,0.10088495016478922,-0.545375970259248,170785,174379,48.0,65536.0,174379.0,3145728.0,0.0002752625029390007,0.461743445135653,0.08099203323945403,1.737032427918166,0.542735478375107,2.279767906293273,computed,9,True
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.06528181627404563,psf_aware_minus50,6.25,0.07638856150564968,-0.17013535874950536,170476,170476,9.0,65536.0,170476.0,589824.0,5.2793355076374384e-05,0.17684081615880132,0.02216129470616579,1.7022081399336457,0.1990021108649671,1.9012102507986128,computed,9,True
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.06528181627404563,nearest,,0.0800478227165752,-0.226188658424324,169678,170785,,,,,,0.0,0.1398498429916799,0.0,0.1398498429916799,0.1398498429916799,computed,9,True
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.06528181627404563,bilinear,,0.0833030080350254,-0.27605224225577407,169678,170785,,,,,,0.0,0.11070211604237556,0.0,0.11070211604237556,0.11070211604237556,computed,9,True
urban__singapore__r2c2,urban,singapore,Singapore,1.2903,103.8519,1.326498274610578,103.88783306872739,00-15,32648,4000.0,4000.0,12.5,0.001,14,20,cuda:0,0.06528181627404563,bicubic,,0.07480175998039514,-0.14582841363337495,169678,170785,,,,,,0.0,0.7598576191812754,0.0,0.7598576191812754,0.7598576191812754,computed,9,True
urban__nairobi__r0c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225305542879326,36.78123901895743,00-15,32737,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.05441567700944729,blurred_observation,12.5,0.05441567700944729,0.0,170764,170764,,,,,,0.0,0.0,0.0,0.0,0.0,computed,10,True
urban__nairobi__r0c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225305542879326,36.78123901895743,00-15,32737,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.05441567700944729,psf_aware_matched,12.5,0.045469394679455266,0.16440634062935267,170764,172038,22.0,65536.0,172038.0,1441792.0,0.00012787872446785013,0.27206755010411143,0.04031797405332327,1.6874291468411684,0.3123855241574347,1.999814670998603,computed,10,True
urban__nairobi__r0c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225305542879326,36.78123901895743,00-15,32737,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.05441567700944729,psf_aware_plus50,18.75,0.08103312609420577,-0.4891503799564476,170764,173920,48.0,65536.0,173920.0,3145728.0,0.00027598896044158235,0.4318672688677907,0.08079471904784441,1.703166123945266,0.5126619879156351,2.215828111860901,computed,10,True
urban__nairobi__r0c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225305542879326,36.78123901895743,00-15,32737,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.05441567700944729,psf_aware_minus50,6.25,0.06158048375561939,-0.13166806221905847,170157,170157,9.0,65536.0,170157.0,589824.0,5.289232884923923e-05,0.17831622995436192,0.022149572148919106,1.6846989472396672,0.20046580210328102,1.8851647493429482,computed,10,True
urban__nairobi__r0c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225305542879326,36.78123901895743,00-15,32737,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.05441567700944729,nearest,,0.06415823139905082,-0.17903947768419903,169595,170764,,,,,,0.0,0.12434782087802887,0.0,0.12434782087802887,0.12434782087802887,computed,10,True
urban__nairobi__r0c0,urban,nairobi,"Nairobi, Kenya",-1.2864,36.8172,-1.3225305542879326,36.78123901895743,00-15,32737,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.05441567700944729,bilinear,,0.06646020281434481,-0.2213429376759648,169595,170764,,,,,,0.0,0.11166942771524191,0.0,0.11166942771524191,0.11166942771524191,computed,10,True
