scene,psf_config,assumed_fwhm_m,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
agriculture,matched,12.5,100.0,0.0013172875992319513,0.001,correlated,0.015571929813682866,1.3215196563182954e-06,6.344911004137408e-05,1.3215196563183208e-06,6.291732108521658e-08,1.0568662242204273e-07,0.00040425185537857364,0.0006791026156411007,10,169654
agriculture,matched,12.5,100.0,0.0013172875992319513,0.001,white,0.015986975316886608,5.502283818225974e-06,0.00047849461324511353,5.502283818225279e-06,1.868168729380927e-05,3.4823389097668973e-07,0.11679146578684144,0.0021677652946949285,10,169654
agriculture,matched,12.5,100.0,0.0013172875992319513,0.01,correlated,0.015697484053064373,9.625800565684616e-07,6.274933134631511e-05,9.625800565684728e-07,7.626960161441834e-07,5.741569491483867e-07,0.0049007318096837196,0.0036891197304786605,10,169654
agriculture,matched,12.5,100.0,0.0013172875992319513,0.01,white,0.015996501928842916,5.466436714256478e-06,0.00036176720712485647,5.466436714255844e-06,0.0001354090934140663,1.9307889599627703e-06,0.8465312536306289,0.01200633526200744,10,169654
agriculture,matched,12.5,100.0,0.0013172875992319513,0.1,correlated,0.017243569920840238,7.968136112271397e-07,5.56684335465036e-05,7.968136112264732e-07,7.843593815955694e-06,8.283058873268073e-07,0.05040158619545319,0.0053188945177563675,10,169654
agriculture,matched,12.5,100.0,0.0013172875992319513,0.1,white,0.017305622901128463,4.627499582054086e-06,0.00011772141383473018,4.627499582053058e-06,0.0003794548867041926,2.509809775302175e-06,2.3722215467808896,0.01523626536691105,10,169654
agriculture,matched,12.5,100.0,0.0013172875992319513,1.0,correlated,0.022171345714083017,1.3684552984642917e-06,3.870169537184796e-05,1.36845529846432e-06,2.4810331990611327e-05,1.0994550493173599e-06,0.15942788326919186,0.007059307096399177,10,169654
agriculture,matched,12.5,100.0,0.0013172875992319513,1.0,white,0.022155273224431744,2.656510344497571e-06,2.2629205720575696e-05,2.6565103444973347e-06,0.0004745470948183471,4.216063448191783e-06,2.9667015115600632,0.02544840893655456,10,169654
agriculture,matched,12.5,inf,0.0,0.0,none,0.015498567423135982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,169654
agriculture,matched,12.5,inf,0.0,0.001,none,0.015508480703641494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,169654
agriculture,matched,12.5,inf,0.0,0.01,none,0.015634734721718058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,169654
agriculture,matched,12.5,inf,0.0,0.1,none,0.017187901487293735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,169654
agriculture,matched,12.5,inf,0.0,1.0,none,0.022132644018711168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,169654
forest,matched,12.5,5.0,0.02254106478833225,0.0,correlated,0.03408632603058868,1.4276106431092973e-05,0.009950056063331986,1.4276106431092724e-05,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,5.0,0.02254106478833225,0.0,white,0.07246085686537782,0.00010690745767803058,0.04832458689812113,0.00010690745767802944,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,5.0,0.02254106478833225,0.001,correlated,0.03410082573304345,1.3835686661885762e-05,0.009939936305693415,1.3835686661884918e-05,1.011975763857073e-05,7.329664268035357e-07,0.02968811809919867,0.002142048951697225,10,169683
forest,matched,12.5,5.0,0.02254106478833225,0.001,white,0.07115950453912367,9.677067907257847e-05,0.046998615111773646,9.677067907257867e-05,0.0013259717863474865,1.4197951060326457e-05,1.8298987334506749,0.017674277145902226,10,169683
forest,matched,12.5,5.0,0.02254106478833225,0.01,correlated,0.03426947619887476,1.2195908395630428e-05,0.009836423483130222,1.2195908395629606e-05,0.00011363258020176403,4.195628460253765e-06,0.33336429077063856,0.012220811788044694,10,169683
