zoom,tile_x,tile_y,sha256,path
17,128135,83159,d7189a4aef7b49816b3d4abcb44ae84982f4a7b3a66922304bec932b122264f5,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83159.jpg
17,128135,83160,21614d9dcc62c960edc9d9c7b721bf92d02093cb4d1688355be31c8080c3d5f3,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83160.jpg
17,128135,83161,c7218fbc3a35a4e4b870f4bf5a566a956cc3eedbb2e44c175a1a758182bd8ac0,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83161.jpg
17,128135,83162,1e12442846a8526bc938ebf34de97c8cf5269b4540543bf1c5aa1a80933f940d,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83162.jpg
17,128135,83163,ae5cd8f45df4a52a04f67e4cd06883a5d79741ac8a0cdb91a6a52a72920b9d6b,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83163.jpg
17,128135,83164,6e8eb3bcff8c2819b7b3a8d2d1341657c25d25a0767518a85671019744cd5ef1,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83164.jpg
17,128135,83165,643adb45d5f9e2d8bee7f51575d015e824cf2e022e9562f5ab67ac84e8495353,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83165.jpg
17,128135,83166,456094823f9d8812169edf7afab5018d7179d188919ea3b52eaea2742ee9c2b8,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83166.jpg
17,128135,83167,a75812cc97bae02a8d1b4675678188a3c258d3a0301060a95fea25c0e1f727e5,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83167.jpg
17,128135,83168,13d165f124f1bb4c26854389cc06f8f568bd5fc0194b4e3b20972d6e5ebb8e70,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83168.jpg
17,128135,83169,3d99529917b2a4f9b19c8df7095a52f75b970c8836d1099e7666e23826170d5d,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83169.jpg
17,128135,83170,3edee61befd79c166a18f838bfbea5acc1b54e5b613e66ed6bf41ccafbaba05b,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83170.jpg
17,128135,83171,1ed53b4810ec4cf1a7235c5cc099a40550b8f2eef5908ad0253c110e996e1ebe,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83171.jpg
17,128135,83172,e6dc53916951a20d7557c43747d8253da41a22a1cb50bc5bbbeeed95d03fa238,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83172.jpg
17,128135,83173,a7bdac3604c7332c8adf61c9e17cf67bf2340932e28bbce97f21c0a898496e29,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83173.jpg
17,128135,83174,f7ef7d6013f654a5e73413bd3370aa5fcebfed5ed446ae071c764849dfce0a57,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83174.jpg
17,128135,83175,3e992f42f2082146dcbc814c525a4b11f5f2fc6d83e30d80909daeb4ff4dc0f5,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83175.jpg
17,128135,83176,a9ad2610ef02a74583fac5dbd305c4d20b47a5257ed5ea01660792c292004af8,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83176.jpg
17,128135,83177,de6e92150d7dcf8daa883a3163d8f5df28d0f33cbd6daf781d8503a3d27131ae,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83177.jpg
17,128135,83178,abe07ed76f6e49d579c9232ea7eabb92a2a9717300eac0470752c7a255dafca8,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83178.jpg
