patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,patch_row,patch_col
urban__paris__r1c0,urban,paris,"Paris, France",48.8566,2.3522,48.856280739284,2.2976725913504663,45-60,32631,-4000.0,0.0,1,0
urban__paris__r1c1,urban,paris,"Paris, France",48.8566,2.3522,48.85660000000001,2.3522,45-60,32631,0.0,0.0,1,1
urban__paris__r1c2,urban,paris,"Paris, France",48.8566,2.3522,48.85689347502571,2.4067283288866896,45-60,32631,4000.0,0.0,1,2
urban__paris__r2c0,urban,paris,"Paris, France",48.8566,2.3522,48.892261285227754,2.297168730250136,45-60,32631,-4000.0,4000.0,2,0
urban__paris__r2c1,urban,paris,"Paris, France",48.8566,2.3522,48.892580948202585,2.3517352507932077,45-60,32631,0.0,4000.0,2,1
urban__paris__r2c2,urban,paris,"Paris, France",48.8566,2.3522,48.89287479300247,2.406302693919052,45-60,32631,4000.0,4000.0,2,2
urban__reykjavik__r0c0,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.11015571466663,-22.02347605636371,60-75,32627,-4000.0,-4000.0,0,0
urban__reykjavik__r0c1,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.11070940369189,-21.94138469496526,60-75,32627,0.0,-4000.0,0,1
urban__reykjavik__r0c2,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.11121683199232,-21.859289836082795,60-75,32627,4000.0,-4000.0,0,2
urban__reykjavik__r1c0,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.14604543056885,-22.024797296008014,60-75,32627,-4000.0,0.0,1,0
urban__reykjavik__r1c1,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.1466,-21.942600000000002,60-75,32627,0.0,0.0,1,1
urban__reykjavik__r1c2,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.14710823517932,-21.86039919199552,60-75,32627,4000.0,0.0,1,2
urban__reykjavik__r2c0,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.1819349535051,-22.0261223536254,60-75,32627,-4000.0,4000.0,2,0
urban__reykjavik__r2c1,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.18249040561801,-21.94381881704467,60-75,32627,0.0,4000.0,2,1
urban__reykjavik__r2c2,urban,reykjavik,"Reykjavik, Iceland",64.1466,-21.9426,64.18299944976205,-21.86151175387424,60-75,32627,4000.0,4000.0,2,2
water__lake_victoria__r0c0,water,lake_victoria,Lake Victoria,-1.0,33.0,-1.0361889347151867,32.96404717228493,00-15,32736,-4000.0,-4000.0,0,0
water__lake_victoria__r0c1,water,lake_victoria,Lake Victoria,-1.0,33.0,-1.036189140044676,33.0,00-15,32736,0.0,-4000.0,0,1
