scene,psf_config,assumed_fwhm_m,npt,snr,noise_std,lam,rmse_vs_no_psf,noise_model,realization,seed,n_cells,rmse_clean,noise_penalty,noise_penalty_lam0,rmse_noisy_lam0,regularization_noise_gain,regularization_noise_gain_pct
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06832822679113247,correlated,3,2337,169675,0.0683142883420058,1.3938449126671415e-05,1.3938449126671415e-05,0.06832822679113247,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06840927688314721,correlated,3,2337,169675,0.0683953330813333,1.3943801813909307e-05,1.3938449126671415e-05,0.06832822679113247,-5.352687237891729e-09,-7.83378625389177e-06
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06927838345579684,correlated,3,2337,169675,0.06926453552915494,1.3847926641899488e-05,1.3938449126671415e-05,0.06832822679113247,9.052248477192659e-08,0.00013248182928650865
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07774929660211728,correlated,3,2337,169675,0.07773709273896316,1.220386315411992e-05,1.3938449126671415e-05,0.06832822679113247,1.7345859725514945e-06,0.0025386082063183386
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09940048080697685,correlated,3,2337,169675,0.09939127549633432,9.205310642523834e-06,1.3938449126671415e-05,0.06832822679113247,4.733138484147581e-06,0.006927061781679135
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06832913658580445,correlated,4,2338,169675,0.0683142883420058,1.48482437986458e-05,1.48482437986458e-05,0.06832913658580445,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06841018675945378,correlated,4,2338,169675,0.0683953330813333,1.485367812047167e-05,1.48482437986458e-05,0.06832913658580445,-5.434321825870114e-09,-7.9531545361267e-06
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06927931764564291,correlated,4,2338,169675,0.06926453552915494,1.4782116487963015e-05,1.48482437986458e-05,0.06832913658580445,6.612731068278421e-08,9.677761784644347e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07775025631254329,correlated,4,2338,169675,0.07773709273896316,1.3163573580124432e-05,1.48482437986458e-05,0.06832913658580445,1.6846702185213669e-06,0.0024655224735729525
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09940110232053713,correlated,4,2338,169675,0.09939127549633432,9.826824202807671e-06,1.48482437986458e-05,0.06832913658580445,5.021419595838128e-06,0.007348870257613267
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06832842676860788,correlated,5,2339,169675,0.0683142883420058,1.4138426602083864e-05,1.4138426602083864e-05,0.06832842676860788,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06840943836201625,correlated,5,2339,169675,0.0683953330813333,1.4105280682949473e-05,1.4138426602083864e-05,0.06832842676860788,3.314591913439191e-08,4.850970628467643e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06927833414066083,correlated,5,2339,169675,0.06926453552915494,1.3798611505883018e-05,1.4138426602083864e-05,0.06832842676860788,3.3981509620084616e-07,0.0004973260943818003
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07774873891039376,correlated,5,2339,169675,0.07773709273896316,1.1646171430595986e-05,1.4138426602083864e-05,0.06832842676860788,2.4922551714878782e-06,0.0036474645902909836
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939821949177532,correlated,5,2339,169675,0.09939127549633432,6.9439954410027704e-06,1.4138426602083864e-05,0.06832842676860788,7.194431161081094e-06,0.01052919187711553
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.0683289305365839,correlated,6,2340,169675,0.0683142883420058,1.46421945780989e-05,1.46421945780989e-05,0.0683289305365839,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06840999962854459,correlated,6,2340,169675,0.0683953330813333,1.4666547211286685e-05,1.46421945780989e-05,0.0683289305365839,-2.4352633187785244e-08,-3.564029613305104e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06927916827480513,correlated,6,2340,169675,0.06926453552915494,1.4632745650181023e-05,1.46421945780989e-05,0.0683289305365839,9.44892791787666e-09,1.3828590384299403e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07774981330530908,correlated,6,2340,169675,0.07773709273896316,1.2720566345922335e-05,1.46421945780989e-05,0.0683289305365839,1.9216282321765643e-06,0.0028123200774344157
