asset_id,category,source,source_identifier,relative_path,kind,required_by,expected_shape,status,bytes,sha256,archive_doi,notes
esri_multipatch_urban__cape_town__r0c1,primary_input,Esri World Imagery,zoom=17;lat=-33.9609394320875;lon=18.423013535287144,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r0c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r0c2,primary_input,Esri World Imagery,zoom=17;lat=-33.96183796023641;lon=18.466265264593428,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r0c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r1c0,primary_input,Esri World Imagery,zoom=17;lat=-33.923987528109855;lon=18.38086838718791,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r1c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r1c1,primary_input,Esri World Imagery,zoom=17;lat=-33.924899999999994;lon=18.4241,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r1c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r1c2,primary_input,Esri World Imagery,zoom=17;lat=-33.9257973158621;lon=18.46733354220432,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r1c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r2c0,primary_input,Esri World Imagery,zoom=17;lat=-33.88794908584836;lon=18.381971074093535,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r2c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r2c1,primary_input,Esri World Imagery,zoom=17;lat=-33.88886032601885;lon=18.42518453531914,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r2c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r2c2,primary_input,Esri World Imagery,zoom=17;lat=-33.88975643059475;lon=18.46839992265851,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r2c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r0c0,primary_input,Esri World Imagery,zoom=17;lat=-33.904221970944;lon=151.16530175038037,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r0c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r0c1,primary_input,Esri World Imagery,zoom=17;lat=-33.904858663668826;lon=151.20854618059698,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r0c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r0c2,primary_input,Esri World Imagery,zoom=17;lat=-33.90548018506739;lon=151.25179195262064,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r0c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r1c0,primary_input,Esri World Imagery,zoom=17;lat=-33.86816416743214;lon=151.16607374187643,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r1c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r1c1,primary_input,Esri World Imagery,zoom=17;lat=-33.86879999999999;lon=151.2093,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r1c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r1c2,primary_input,Esri World Imagery,zoom=17;lat=-33.869420681725536;lon=151.25252759765013,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r1c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r2c0,primary_input,Esri World Imagery,zoom=17;lat=-33.83210613711003;lon=151.16684436158428,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r2c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r2c1,primary_input,Esri World Imagery,zoom=17;lat=-33.83274111023;lon=151.2100524798755,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r2c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sydney__r2c2,primary_input,Esri World Imagery,zoom=17;lat=-33.83336095297478;lon=151.2532619354189,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sydney__r2c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
